"B069","BUITONI (M) SDN BHD","JRT","15","4114.50","3483.03","631.47","110","23"
"B069","BUITONI (M) SDN BHD","RB","15","6740.55","5708.92","1031.63","156","24"
"B081","BLUE SKY GARMENT ENTERPRISE","BER","25","441.30","330.98","110.32","27","5"
"B081","BLUE SKY GARMENT ENTERPRISE","BGJ","25","1328.10","996.07","332.03","74","5"
"B081","BLUE SKY GARMENT ENTERPRISE","BT1","25","311.30","233.48","77.82","16","4"
"B081","BLUE SKY GARMENT ENTERPRISE","BT2","25","1490.20","1128.04","362.16","90","6"
"B081","BLUE SKY GARMENT ENTERPRISE","GMS","25","1145.10","858.82","286.27","64","3"
"B081","BLUE SKY GARMENT ENTERPRISE","IBN","25","1163.00","884.75","278.25","81","6"
"B081","BLUE SKY GARMENT ENTERPRISE","KKD","25","734.30","557.23","177.07","47","3"
"B081","BLUE SKY GARMENT ENTERPRISE","KLM","25","408.40","306.90","101.50","23","4"
"B081","BLUE SKY GARMENT ENTERPRISE","KLP","25","3904.10","2928.08","976.03","220","5"
"B081","BLUE SKY GARMENT ENTERPRISE","MR","25","2394.50","1795.87","598.63","129","5"
"B081","BLUE SKY GARMENT ENTERPRISE","MTK","25","303.10","230.16","72.94","24","5"
"B081","BLUE SKY GARMENT ENTERPRISE","NSB","25","1329.70","998.27","331.43","80","3"
"B081","BLUE SKY GARMENT ENTERPRISE","PDS","25","6473.50","4862.92","1610.58","350","8"
"B081","BLUE SKY GARMENT ENTERPRISE","PLU","20","120.00","96.00","24.00","11","1"
"B081","BLUE SKY GARMENT ENTERPRISE","RB","25","2873.30","2175.97","697.33","164","6"
"B081","BLUE SKY GARMENT ENTERPRISE","SGM","25","940.00","709.50","230.50","55","3"
"B081","BLUE SKY GARMENT ENTERPRISE","SGP","20","220.00","176.00","44.00","22","1"
"B081","BLUE SKY GARMENT ENTERPRISE","SGS","25","992.60","751.45","241.15","63","6"
"B081","BLUE SKY GARMENT ENTERPRISE","SM2","20","51.90","41.52","10.38","3","2"
"B081","BLUE SKY GARMENT ENTERPRISE","SMJ","20","141.75","113.40","28.35","11","1"
"B081","BLUE SKY GARMENT ENTERPRISE","SPE","20","92.45","73.96","18.49","8","2"
